date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:38	28091/28091	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6dbb%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/sparkline.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/sparkline.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:38	28149/28149	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6df5%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/c3.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/c3.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:39	28467/28467	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6f33%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/chartist.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/chartist.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:39	29070/29070	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-718e%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/justGage.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/justGage.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:39	53289/53289	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-d029%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/basic-table.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/basic-table.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:40	33421/33421	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-828d%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/data-table.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/data-table.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:40	28257/28257	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6e61%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/js-grid.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/js-grid.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:40	32432/32432	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7eb0%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/sortable-table.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/tables/sortable-table.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:40	30560/30560	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7760%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/popups.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/popups.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:41	34437/34437	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-8685%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/notifications.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/notifications.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:41	53464/53464	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-d0d8%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/flag-icons.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/flag-icons.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:42	133378/133378	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-20902%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/font-awesome.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/font-awesome.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:42	60189/60189	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-eb1d%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/simple-line-icon.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/simple-line-icon.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:42	61215/61215	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-ef1f%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/themify.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/icons/themify.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:43	27847/27847	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6cc7%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/mapeal.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/mapeal.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:43	26516/26516	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6794%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/vector-map.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/vector-map.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:43	30134/30134	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-75b6%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/google-maps.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/maps/google-maps.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
